dataset,regime,model,alpha,gamma,seed,rounds,tail,diverged,death_round,overall_tail,worst_group,worst_group_tail,group_tail_White,group_tail_Black,group_tail_Asian-Pac-Islander,group_tail_Amer-Indian-Eskimo,group_tail_Other,file
adult,infeasible,fedavg,,,0,4000,500,0,,0.210492,White,0.352288,0.352288,0.170509,0.34048,0.146965,0.0422205,adult_infeasible_fedavg_seed0.csv.gz
adult,infeasible,fedavg,,,1,4000,500,0,,0.209726,White,0.353859,0.353859,0.170236,0.336016,0.145261,0.0432585,adult_infeasible_fedavg_seed1.csv.gz
adult,infeasible,fedavg,,,2,4000,500,0,,0.210024,White,0.352133,0.352133,0.170649,0.340212,0.144965,0.042159,adult_infeasible_fedavg_seed2.csv.gz
adult,infeasible,fedavg,,,3,4000,500,0,,0.209682,White,0.354259,0.354259,0.16795,0.33543,0.150316,0.0404568,adult_infeasible_fedavg_seed3.csv.gz
adult,infeasible,fedavg,,,4,4000,500,0,,0.20944,White,0.35394,0.35394,0.169351,0.339061,0.145471,0.0393763,adult_infeasible_fedavg_seed4.csv.gz
adult,infeasible,fedavot,,,0,4000,500,0,,0.205064,White,0.383629,0.383629,0.169682,0.324858,0.117794,0.0293546,adult_infeasible_fedavot_seed0.csv.gz
adult,infeasible,fedavot,,,1,4000,500,0,,0.204834,White,0.385323,0.385323,0.169923,0.320221,0.11917,0.0295323,adult_infeasible_fedavot_seed1.csv.gz
adult,infeasible,fedavot,,,2,4000,500,0,,0.204634,White,0.385025,0.385025,0.169507,0.320984,0.121104,0.02655,adult_infeasible_fedavot_seed2.csv.gz
adult,infeasible,fedavot,,,3,4000,500,0,,0.204557,White,0.388234,0.388234,0.168258,0.315944,0.123676,0.0266729,adult_infeasible_fedavot_seed3.csv.gz
adult,infeasible,fedavot,,,4,4000,500,0,,0.204702,White,0.387271,0.387271,0.169066,0.322768,0.11752,0.0268835,adult_infeasible_fedavot_seed4.csv.gz
adult,infeasible,full,,,0,4000,500,0,,0.203774,White,0.38512,0.38512,0.168379,0.319237,0.118316,0.0278196,adult_infeasible_full_seed0.csv.gz
adult,infeasible,full,,,1,4000,500,0,,0.203774,White,0.38512,0.38512,0.168379,0.319237,0.118316,0.0278196,adult_infeasible_full_seed1.csv.gz
adult,infeasible,full,,,2,4000,500,0,,0.203774,White,0.38512,0.38512,0.168379,0.319237,0.118316,0.0278196,adult_infeasible_full_seed2.csv.gz
adult,infeasible,full,,,3,4000,500,0,,0.203774,White,0.38512,0.38512,0.168379,0.319237,0.118316,0.0278196,adult_infeasible_full_seed3.csv.gz
adult,infeasible,full,,,4,4000,500,0,,0.203774,White,0.38512,0.38512,0.168379,0.319237,0.118316,0.0278196,adult_infeasible_full_seed4.csv.gz
